year,circuitId,cicuitsRef,name,location,country,lat,lng,url
2017,spa,153,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2017,suzuka,154,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,http://en.wikipedia.org/wiki/Suzuka_Circuit
2017,villeneuve,155,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
2017,yas_marina,156,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
2018,albert_park,157,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2018,americas,158,Circuit of the Americas,Austin,USA,30.1328,-97.6411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
2018,bahrain,159,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
2018,baku,160,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,http://en.wikipedia.org/wiki/Baku_City_Circuit
2018,catalunya,161,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2018,hockenheimring,162,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
2018,hungaroring,163,Hungaroring,Budapest,Hungary,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
2018,interlagos,164,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2018,marina_bay,165,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2018,monaco,166,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2018,monza,167,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2018,red_bull_ring,168,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,http://en.wikipedia.org/wiki/Red_Bull_Ring
2018,ricard,169,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
2018,rodriguez,170,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
